Unnamed: 0,id,filename,url,desc,createTime,downloadTime,author,collectCount,commentCount,diggCount,playCount,shareCount
87,7335916175127235883,yhateace_7335916175127235883.mp4,https://www.tiktok.com/@supeastars/video/7333091393658703150,#fyp @Sneakerowner code “ace”,1708026124,36:49.0,yhateace,38100,921,247500,1300000,3136
88,7330442558805413163,luhdaren_7330442558805413163.mp4,https://www.tiktok.com/@kreo444/video/7340746032977825066,#fyp ,1706751670,36:50.7,luhdaren,130000,8047,900200,5300000,10200
89,7330294946030882094,sm4lgang__7330294946030882094.mp4,https://www.tiktok.com/@jorwels/video/7326613996885282094,My man picking up my attitude 😭#fyp #xbcyza #couplegoals #sm4lgang ,1706717307,36:52.7,sm4lgang_,62800,1787,533300,2700000,6929
90,7345927834768084266,elijahwaun_7345927834768084266.mp4,https://www.tiktok.com/@nellabone_/video/7344529420859936046,love this song#dmv #xybzca #fyp ,1710357142,36:54.1,elijahwaun,155700,5404,1100000,7900000,13100
91,7324974610053844270,dareallmb__7324974610053844270.mp4,https://www.tiktok.com/@david_5o2/video/7347379829785890079,lmaoo i dnt think soo 😂😂#fyp ,1705478573,36:55.4,dareallmb_,16400,291,116900,584200,1834
92,7342340945079307566,sgc_von_7342340945079307566.mp4,https://www.tiktok.com/@apocalypse_scar/video/7328165641033289006,Naw mar wildinn😂😂 #fyp #siblings #sgc ,1709521995,36:57.1,sgc_von,36500,1828,273500,1200000,4063
93,7328938283940007210,luhdaren_7328938283940007210.mp4,https://www.tiktok.com/@lovingasmo/video/7346134677230472453,#fyp ,1706401451,36:59.4,luhdaren,17000,5870,100800,683300,807
94,7333054790248828206,3kaidenn_7333054790248828206.mp4,https://www.tiktok.com/@just_a_khaled/video/7323206251897294088,#foryoupage #viral #3kaidenn ,1707359887,37:00.8,3kaidenn,16000,847,127400,793300,500
95,7334845846002896171,lambotelevision_7334845846002896171.mp4,https://www.tiktok.com/@rotterz.movie/video/7321403905382944046,i love Usher on God😂❤️ #fyp #lambotelevision ,1707776908,37:02.6,lambotelevision,52600,2253,440100,2300000,4095
96,7335471694217366830,deirdre_sbspam_7335471694217366830.mp4,https://www.tiktok.com/@micahdaileywhite/video/7330414668151835947,i was dying 😭😭 #fypシ ,1707922635,37:04.8,deirdre_sbspam,52600,610,800700,4400000,1021
97,7330032069763992874,hetoomuch6_7330032069763992874.mp4,https://www.tiktok.com/@omarnutro/video/7331519411301420331,tapN on my insta:kickinhoes2x #fyp #viralvideo #makemefamous #tiktokchallenge #foryoupage #viral #trending #trending #tiktoktrends #xyzbca #viral #relatable #blowthisup,1706656112,37:06.6,hetoomuch6,29000,1879,169100,970500,2296
98,7321899828743589151,karissaispretty_7321899828743589151.mp4,https://www.tiktok.com/@luvmsea_666/video/7321969566442114306,#fypp who is waiting.🌚😂,1704762692,37:08.0,karissaispretty,20400,255,174200,1100000,902
99,7344529420859936046,nellabone__7344529420859936046.mp4,https://www.tiktok.com/@rotterz.movie/video/7336622483207884075,#viralvideo #foryoupageofficiall #putthisonfypplss #putthisonfypplsssss #relatablecontent #makemefamous ,1710031539,37:09.7,nellabone_,49500,43200,536400,3800000,1727
100,7344268249464360234,ytminhofn_7344268249464360234.mp4,https://www.tiktok.com/@thelazyducky__/video/7333088719940947208,Nick’s custom just kept getting worse and worse… 😭😞 #f#fortnitef#fortniteclipsf#fortnitememesf#fortnitefunnyf#fortnitenewf#fortniteupdatef#fortnitechapter5c#chapter5season2fortnitestreamer #nickeh30,1709970719,37:29.3,ytminhofn,9310,906,139100,3900000,343
101,7329669663263034670,staticcsfn_7329669663263034670.mp4,https://www.tiktok.com/@meme.palace1/video/7344207087544651051,how did bro qualify to fncs finals 😭😂 #fyp #fortnite #funny #asianjeff #viral #fortnitegame #fortnitefunny ,1706571736,37:36.0,staticcsfn,1717,97,19800,221100,210
102,7327211180034919722,ogdailyfortniteclips_7327211180034919722.mp4,https://www.tiktok.com/@funnycats0ftiktok/video/7348810732932271403,This Is Why You Should Never Emote On Asian Jeff 😳 #fyp #fortnite #fortnitetips #fortniteclips #fortnitemoments #fortnitebr #fortnitefunny #fortniteupdate #asianjeff #ninjashyper #ninja #mongraal #clix #fortniteclutch #fortnitetips ,1705999376,37:41.7,ogdailyfortniteclips,88900,4298,753300,7200000,4197
103,7323740210829839662,notbradenfn_7323740210829839662.mp4,https://www.tiktok.com/@_compajay/video/7332294596799515950,Did I sell again? #fncs #fortnite #fortnitepro #fyp #asianjeff #foryou #viral #notbradenfn ,1705191178,37:46.8,notbradenfn,36500,6312,487500,5400000,9600
104,7338152837718854955,merofn__7338152837718854955.mp4,https://www.tiktok.com/@sdmnplugg/video/7324985682059971847,Mero Vs. Peterbot 😈😮‍💨 #viral #gaming #trending #foryou #foryoupage #fyp #fortnitepro #mero #fortniteclips #chapter5 #fortnitememes #fortniteupdate ,1708546880,37:53.8,merofn_,14700,1080,191300,2300000,631
